id,codigo_act,nombre_act,per_ocu,cve_ent,cve_mun,municipio,entidad,tipoUniEco,latitud,longitud,sector_codigo,sector_nombre,cve_geo
12299614,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.61970918,-99.00387629,11,Agricultura y ganadería,17004
12299633,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.62917056,-98.99785906,11,Agricultura y ganadería,17004
12296784,112515,Piscicultura en agua dulce,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.58739055,-99.04187825,11,Agricultura y ganadería,17004
12319974,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,17,34,Coatetelco,Morelos,Fijo,18.72770159,-99.33615276,11,Agricultura y ganadería,17034
6171821,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.70408293,-98.98409314,11,Agricultura y ganadería,17004
9020739,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.62416788,-99.00948753,11,Agricultura y ganadería,17004
12299582,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.63608698,-98.99211508,11,Agricultura y ganadería,17004
12299592,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.6529222,-98.98395988,11,Agricultura y ganadería,17004
12299618,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.61962668,-99.00147488,11,Agricultura y ganadería,17004
12299606,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.63226572,-98.99580858,11,Agricultura y ganadería,17004
12296770,112515,Piscicultura en agua dulce,0 a 5 personas,17,11,Jiutepec,Morelos,Fijo,18.89412978,-99.18789171,11,Agricultura y ganadería,17011
12299594,112519,Otra acuicultura,0 a 5 personas,17,24,Tlaltizapán de Zapata,Morelos,Fijo,18.64825513,-99.02655563,11,Agricultura y ganadería,17024
12296774,112515,Piscicultura en agua dulce,0 a 5 personas,17,13,Jonacatepec de Leandro Valle,Morelos,Fijo,18.70018008,-98.80811841,11,Agricultura y ganadería,17013
12299587,112519,Otra acuicultura,6 a 10 personas,17,4,Ayala,Morelos,Fijo,18.5903852,-99.02790881,11,Agricultura y ganadería,17004
12299583,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.62091867,-99.01044522,11,Agricultura y ganadería,17004
12299610,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.59446424,-99.0384519,11,Agricultura y ganadería,17004
12299639,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.61689727,-99.0102117,11,Agricultura y ganadería,17004
7888941,112516,Piscicultura en agua salada,11 a 30 personas,17,28,Xochitepec,Morelos,Fijo,18.74898087,-99.22352925,11,Agricultura y ganadería,17028
11008444,115111,Servicios de fumigación agrícola,0 a 5 personas,17,29,Yautepec,Morelos,Fijo,18.90023303,-99.05219294,11,Agricultura y ganadería,17029
6171854,112519,Otra acuicultura,0 a 5 personas,17,31,Zacatepec,Morelos,Fijo,18.64727741,-99.22120989,11,Agricultura y ganadería,17031
9237494,112519,Otra acuicultura,0 a 5 personas,17,31,Zacatepec,Morelos,Fijo,18.64727741,-99.22120989,11,Agricultura y ganadería,17031
8919563,112515,Piscicultura en agua dulce,6 a 10 personas,17,4,Ayala,Morelos,Fijo,18.64907444,-98.95045442,11,Agricultura y ganadería,17004
6171865,112515,Piscicultura en agua dulce,11 a 30 personas,17,6,Cuautla,Morelos,Fijo,18.8349094,-98.96062788,11,Agricultura y ganadería,17006
8468266,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.6616461,-98.99649577,11,Agricultura y ganadería,17004
11791584,115210,Servicios relacionados con la cría y explotación de animales,0 a 5 personas,17,35,Xoxocotla,Morelos,Fijo,18.67571446,-99.25406416,11,Agricultura y ganadería,17035
2862402,115210,Servicios relacionados con la cría y explotación de animales,0 a 5 personas,17,10,Jantetelco,Morelos,Fijo,18.71703527,-98.79561266,11,Agricultura y ganadería,17010
2815747,115113,Beneficio de productos agrícolas,0 a 5 personas,17,33,Temoac,Morelos,Fijo,18.75331397,-98.77858249,11,Agricultura y ganadería,17033
6212384,115113,Beneficio de productos agrícolas,0 a 5 personas,17,6,Cuautla,Morelos,Fijo,18.85898893,-98.92985746,11,Agricultura y ganadería,17006
9426783,112515,Piscicultura en agua dulce,0 a 5 personas,17,19,Tepalcingo,Morelos,Fijo,18.65505946,-98.92430261,11,Agricultura y ganadería,17019
6171786,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,17,19,Tepalcingo,Morelos,Fijo,18.66730873,-98.91734373,11,Agricultura y ganadería,17019
12299649,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.61325811,-99.01301651,11,Agricultura y ganadería,17004
11845382,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.62068804,-99.01067051,11,Agricultura y ganadería,17004
6171870,112519,Otra acuicultura,6 a 10 personas,17,31,Zacatepec,Morelos,Fijo,18.64512368,-99.20266768,11,Agricultura y ganadería,17031
6226000,115113,Beneficio de productos agrícolas,6 a 10 personas,17,1,Amacuzac,Morelos,Fijo,18.5975226,-99.3640149,11,Agricultura y ganadería,17001
2860985,115113,Beneficio de productos agrícolas,0 a 5 personas,17,22,Tetela del Volcán,Morelos,Fijo,18.89861948,-98.72579482,11,Agricultura y ganadería,17022
8656101,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,17,8,Emiliano Zapata,Morelos,Fijo,18.83936745,-99.20103152,11,Agricultura y ganadería,17008
11845891,112519,Otra acuicultura,0 a 5 personas,17,11,Jiutepec,Morelos,Fijo,18.8930977,-99.18707402,11,Agricultura y ganadería,17011
12299623,112519,Otra acuicultura,0 a 5 personas,17,31,Zacatepec,Morelos,Fijo,18.66168112,-99.20986701,11,Agricultura y ganadería,17031
11614298,112519,Otra acuicultura,0 a 5 personas,17,31,Zacatepec,Morelos,Fijo,18.66274592,-99.20955597,11,Agricultura y ganadería,17031
11845364,112515,Piscicultura en agua dulce,0 a 5 personas,17,25,Tlaquiltenango,Morelos,Fijo,18.56299394,-99.10292132,11,Agricultura y ganadería,17025
6171797,112519,Otra acuicultura,0 a 5 personas,17,24,Tlaltizapán de Zapata,Morelos,Fijo,18.8,-99.1077,11,Agricultura y ganadería,17024
12296736,112515,Piscicultura en agua dulce,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.65506545,-98.99453379,11,Agricultura y ganadería,17004
6171766,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.71226954,-98.93877978,11,Agricultura y ganadería,17004
2861136,115113,Beneficio de productos agrícolas,11 a 30 personas,17,22,Tetela del Volcán,Morelos,Fijo,18.89075311,-98.72438942,11,Agricultura y ganadería,17022
10635281,112515,Piscicultura en agua dulce,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.76090252,-98.87913881,11,Agricultura y ganadería,17004
12299628,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.62069236,-99.00117194,11,Agricultura y ganadería,17004
12299580,112519,Otra acuicultura,0 a 5 personas,17,24,Tlaltizapán de Zapata,Morelos,Fijo,18.65294237,-99.03271296,11,Agricultura y ganadería,17024
12299648,112519,Otra acuicultura,0 a 5 personas,17,24,Tlaltizapán de Zapata,Morelos,Fijo,18.65914261,-99.00325148,11,Agricultura y ganadería,17024
6171967,112519,Otra acuicultura,0 a 5 personas,17,25,Tlaquiltenango,Morelos,Fijo,18.55701803,-99.0155493,11,Agricultura y ganadería,17025
6171966,112519,Otra acuicultura,0 a 5 personas,17,24,Tlaltizapán de Zapata,Morelos,Fijo,18.75854713,-99.1244541,11,Agricultura y ganadería,17024
12299603,112519,Otra acuicultura,0 a 5 personas,17,4,Ayala,Morelos,Fijo,18.61930478,-99.00445407,11,Agricultura y ganadería,17004
6172048,112515,Piscicultura en agua dulce,0 a 5 personas,17,24,Tlaltizapán de Zapata,Morelos,Fijo,18.79491972,-99.10438083,11,Agricultura y ganadería,17024
9541186,115111,Servicios de fumigación agrícola,0 a 5 personas,17,7,Cuernavaca,Morelos,Fijo,18.9387259,-99.25734347,11,Agricultura y ganadería,17007
