municipio,com_menor,com_mayor,manufactura,aloj_alim,otros_serv,salud_educ,serv_espec,otros_grupo
Amacuzac,232,26,45,96,72,29,21,52
Atlatlahucan,572,58,116,211,182,68,66,42
Axochiapan,1461,83,293,419,395,160,108,46
Ayala,1376,117,336,497,445,156,87,261
Coatetelco,378,11,80,114,53,20,14,36
Coatlán del Río,110,5,8,35,30,19,11,17
Cuautla,6540,411,914,2061,2145,970,641,418
Cuernavaca,10561,584,1548,3415,4263,2377,1765,891
Emiliano Zapata,2330,119,458,594,742,243,118,184
Hueyapan,328,19,78,68,52,23,8,8
Huitzilac,555,28,132,231,146,39,40,40
Jantetelco,499,52,165,160,197,82,50,54
Jiutepec,5008,346,977,1404,2126,680,459,404
Jojutla,2006,98,309,661,701,281,218,177
Jonacatepec de Leandro Valle,494,24,111,163,168,94,70,57
Mazatepec,154,10,28,62,54,29,17,24
Miacatlán,365,10,55,118,121,65,30,23
Ocuituco,402,31,103,105,78,65,22,28
Puente de Ixtla,992,43,150,342,295,134,93,105
Temixco,2966,123,467,688,979,349,199,139
Temoac,446,34,703,145,112,53,34,24
Tepalcingo,809,41,179,329,211,95,57,42
Tepoztlán,842,29,223,551,237,111,63,34
Tetecala,198,5,36,79,50,27,29,25
Tetela del Volcán,548,50,137,143,163,69,36,27
Tlalnepantla,134,10,17,18,31,8,31,14
Tlaltizapán de Zapata,898,43,185,298,338,104,61,119
Tlaquiltenango,424,26,105,153,194,65,34,43
Tlayacapan,604,35,126,238,145,63,40,50
Totolapan,247,20,63,77,71,28,15,21
Xochitepec,1646,74,312,603,632,204,137,134
Xoxocotla,724,26,238,210,200,49,37,35
Yautepec,2780,124,537,983,992,389,223,214
Yecapixtla,1272,84,441,379,397,162,109,48
Zacatepec,904,42,164,330,356,133,78,111
Zacualpan de Amilpas,356,37,111,110,89,62,25,27
