cve_geo,municipio,cluster,pct_com_menor,pct_com_mayor,pct_manufactura,pct_aloj_alim,pct_otros_serv,pct_salud_educ,pct_serv_espec,tam_prom_unidad,pct_semifijo,total_unidades
17033,Temoac,0,28.7556,2.1921,45.3256,9.3488,7.2211,3.4172,2.1921,3.7905,0.8382,1551
17005,Coatlán del Río,1,46.8085,2.1277,3.4043,14.8936,12.766,8.0851,4.6809,5.6723,7.6596,235
17006,Cuautla,1,46.383,2.9149,6.4823,14.617,15.2128,6.8794,4.5461,4.863,2.9433,14100
17007,Cuernavaca,1,41.5722,2.2989,6.0935,13.4428,16.7808,9.3568,6.9477,6.5156,3.8537,25404
17008,Emiliano Zapata,1,48.6633,2.4854,9.5656,12.406,15.4971,5.0752,2.4645,4.7694,1.2949,4788
17011,Jiutepec,1,43.9144,3.034,8.5672,12.3115,18.6426,5.9628,4.0249,5.8138,1.6836,11404
17012,Jojutla,1,45.0685,2.2018,6.9423,14.8506,15.7493,6.3132,4.8978,4.9948,1.5727,4451
17013,Jonacatepec de Leandro Valle,1,41.829,2.0322,9.3988,13.8019,14.2252,7.9594,5.9272,4.1744,1.3548,1181
17014,Mazatepec,1,40.7407,2.6455,7.4074,16.4021,14.2857,7.672,4.4974,4.5265,0.7937,378
17015,Miacatlán,1,46.3787,1.2706,6.9886,14.9936,15.3748,8.2592,3.8119,4.5464,1.5248,787
17017,Puente de Ixtla,1,46.0539,1.9963,6.9638,15.8774,13.6955,6.221,4.3175,4.5241,3.6212,2154
17018,Temixco,1,50.1861,2.0812,7.9019,11.6413,16.5651,5.9052,3.3672,4.4995,1.1844,5910
17021,Tetecala,1,44.098,1.1136,8.0178,17.5947,11.1359,6.0134,6.4588,5.3051,4.6771,449
17024,Tlaltizapán de Zapata,1,43.8905,2.1017,9.042,14.565,16.52,5.0831,2.9814,4.1989,1.0753,2046
17025,Tlaquiltenango,1,40.613,2.4904,10.0575,14.6552,18.5824,6.2261,3.2567,4.7117,1.8199,1044
17028,Xochitepec,1,43.9872,1.9776,8.3378,16.1144,16.8894,5.4516,3.6611,4.5965,1.6836,3742
17029,Yautepec,1,44.537,1.9865,8.603,15.7482,15.8923,6.232,3.5726,4.4313,3.5085,6242
17031,Zacatepec,1,42.6818,1.983,7.7432,15.5807,16.8083,6.2795,3.6827,4.9367,1.983,2118
17001,Amacuzac,2,40.4887,4.5375,7.8534,16.7539,12.5654,5.0611,3.6649,4.1553,3.3159,573
17002,Atlatlahucan,2,43.4981,4.4106,8.8213,16.0456,13.8403,5.1711,5.019,4.4966,0.7605,1315
17003,Axochiapan,2,49.2749,2.7993,9.882,14.1315,13.3221,5.3963,3.6425,3.7457,0.742,2965
17004,Ayala,2,42.0153,3.5725,10.2595,15.1756,13.5878,4.7634,2.6565,4.6962,1.0382,3275
17010,Jantetelco,2,39.6346,4.1303,13.1056,12.7085,15.6473,6.5131,3.9714,3.8697,0.6354,1259
17016,Ocuituco,2,48.2014,3.717,12.3501,12.5899,9.3525,7.7938,2.6379,3.7698,1.3189,834
17022,Tetela del Volcán,2,46.7178,4.2626,11.6795,12.191,13.896,5.8824,3.0691,3.7536,3.3248,1173
17023,Tlalnepantla,2,50.9506,3.8023,6.4639,6.8441,11.7871,3.0418,11.7871,4.4753,4.5627,263
17027,Totolapan,2,45.572,3.69,11.6236,14.2066,13.0996,5.1661,2.7675,3.9207,6.8266,542
17030,Yecapixtla,2,43.9834,2.9046,15.249,13.1051,13.7275,5.6017,3.769,4.3862,1.3831,2892
17032,Zacualpan de Amilpas,2,43.5741,4.5288,13.5863,13.4639,10.8935,7.5887,3.06,3.7271,1.5912,817
17034,Coatetelco,3,53.5411,1.5581,11.3314,16.1473,7.5071,2.8329,1.983,3.796,0.0,706
17036,Hueyapan,3,56.1644,3.2534,13.3562,11.6438,8.9041,3.9384,1.3699,3.5342,4.1096,584
17009,Huitzilac,3,45.8299,2.3121,10.9001,19.0751,12.0562,3.2205,3.3031,4.2601,1.8167,1211
17019,Tepalcingo,3,45.8877,2.3256,10.1531,18.6614,11.9682,5.3885,3.2331,3.8383,4.0272,1763
17020,Tepoztlán,3,40.2871,1.3876,10.6699,26.3636,11.3397,5.311,3.0144,4.523,7.1292,2090
17026,Tlayacapan,3,46.4258,2.6902,9.6849,18.2936,11.1453,4.8424,3.0746,3.7356,2.3059,1301
17035,Xoxocotla,3,47.6629,1.7117,15.6682,13.8249,13.1666,3.2258,2.4358,4.0619,2.4358,1519
